air_store_id,train_days,test_days,seasonal_naive_rmsle,arimax_rmsle,seasonal_naive_rmse_log,arimax_rmse_log,seasonal_naive_mape,arimax_mape,arimax_aic,arimax_status,air_genre_name,air_area_name,delta_rmsle
air_00a91d42b08b08d9,257,39,0.7732431109618028,0.5689875360334062,0.7732431109618028,0.5689875360334062,150.99978136746856,63.0458872770012,524.8781561115275,ARIMAX,Italian/French,Tōkyō-to Chiyoda-ku Kudanminami,0.20425557492839652
air_0164b9927d20bcc3,163,39,1.2473800729004676,0.9492368629665892,1.2473800729004676,0.9524615549844688,203.8826273441658,59.70041051490907,365.11079734920185,ARIMAX,Italian/French,Tōkyō-to Minato-ku Shibakōen,0.29814320993387844
air_0241aa3964b7f861,437,39,0.7195464959798956,0.5358858751095751,0.7195464959798956,0.5358858751095751,68.44564567236631,40.667931700780855,924.1570258981914,ARIMAX,Izakaya,Tōkyō-to Taitō-ku Higashiueno,0.18366062087032053
air_0328696196e46f18,255,39,1.692742773223581,1.3859644333007362,1.692742773223581,1.3859644333007362,200.38391096083404,88.94277253139245,681.0269031175378,ARIMAX,Dining bar,Ōsaka-fu Ōsaka-shi Nakanochō,0.30677833992284476
air_034a3d5b40d5b1b1,257,39,0.5259286154073367,1.042324410805799,0.5259286154073367,1.042324410805799,58.78709956380715,194.87901385139816,598.1016341331116,ARIMAX,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōhiraki,-0.5163957953984623
air_036d4f1ee7285390,257,39,0.682397520751644,0.5278932762301302,0.682397520751644,0.5278932762301302,82.08500822079827,50.436310062391776,509.7909416012608,ARIMAX,Cafe/Sweets,Hyōgo-ken Takarazuka-shi Tōyōchō,0.1545042445215138
air_0382c794b73b51ad,431,39,0.9586309097898055,0.8769975215716695,0.9586309097898055,0.8769975215716695,42.772557247027734,65.92143647214208,872.2761218377934,ARIMAX,Cafe/Sweets,Tōkyō-to Setagaya-ku Okusawa,0.08163338821813593
air_03963426c9312048,436,39,1.0004760180709142,1.0538688214819698,1.0004760180709142,1.0541519411208453,122.04755777616047,69.50808776140707,817.0960081035989,ARIMAX,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,-0.05339280341105557
air_04341b588bde96cd,439,39,0.6054852462163772,0.4450011029476649,0.6054852462163772,0.4450011029476649,55.201616172887014,35.0954594170066,790.9857803320309,ARIMAX,Izakaya,Tōkyō-to Nerima-ku Toyotamakita,0.16048414326871235
air_049f6d5b402a31b2,257,39,0.7914285075529055,0.5510022784081043,0.7914285075529055,0.5510022784081043,131.81898642472086,62.06664309417178,526.5468957010476,ARIMAX,Japanese food,Fukuoka-ken Fukuoka-shi Daimyō,0.24042622914480116
air_04cae7c1bc9b2a0b,257,39,0.6037586368229763,0.7788651431508822,0.6037586368229763,0.7788651431508822,64.22934106921365,52.84870122735911,445.9839079803489,ARIMAX,Izakaya,Hokkaidō Sapporo-shi Kotoni 2 Jō,-0.17510650632790592
air_0585011fa179bcce,257,39,1.1188868036827768,0.6192745180634336,1.1188868036827768,0.6192745180634336,96.68701668701667,61.76188562886128,467.05666619242305,ARIMAX,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,0.49961228561934323
air_05c325d315cc17f5,439,39,0.481554034562547,0.34501883806881084,0.481554034562547,0.34501883806881084,41.564127453257925,25.813414230269043,691.60034186374,ARIMAX,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,0.13653519649373613
air_0647f17b4dc041c8,257,39,0.36217308393174985,0.29816351032857946,0.36217308393174985,0.29816351032857946,37.54197084706148,30.025839121213032,321.3002649040999,ARIMAX,Cafe/Sweets,Tōkyō-to Musashino-shi Kichijōji Honchō,0.06400957360317039
air_064e203265ee5753,257,39,1.2837805632439239,0.7176653342427866,1.2837805632439239,0.7176653342427866,461.16001976914515,89.83773956806476,653.8577726829011,ARIMAX,Cafe/Sweets,Hyōgo-ken Nishinomiya-shi Rokutanjichō,0.5661152290011373
air_066f0221b8a4d533,257,39,0.8018371261876701,0.6944087069630671,0.8018371261876701,0.6944087069630671,86.41323814029688,56.35051101052849,575.332017064982,ARIMAX,Izakaya,Fukuoka-ken Fukuoka-shi Hakata Ekimae,0.107428419224603
air_06f95ac5c33aca10,435,39,0.35536767852214746,0.3626865263161572,0.35536767852214746,0.36290029667283147,26.997814704460417,30.55800625030579,819.4878862188131,ARIMAX,Izakaya,Tōkyō-to Kōtō-ku Tōyō,-0.007318847794009764
air_0728814bd98f7367,434,39,0.991499137227861,0.6860050155986832,0.991499137227861,0.6860050155986832,158.03850470517136,66.8339899409509,1009.5835325774807,ARIMAX,Western food,Tōkyō-to Suginami-ku Asagayaminami,0.3054941216291778
air_0768ab3910f7967f,435,39,1.4037575944364875,1.2573974277678968,1.4037575944364875,1.2573974277678968,198.6010461479466,86.37332054556921,1325.1155832912023,ARIMAX,Dining bar,Tōkyō-to Meguro-ku Kamimeguro,0.14636016666859075
air_07b314d83059c4d2,257,39,0.27045292022241857,0.2332257378467912,0.27045292022241857,0.2332257378467912,21.58721851500884,19.230693386015,348.3535939534677,ARIMAX,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Ōgimachi,0.03722718237562736
air_07bb665f9cdfbdfb,436,39,1.532986151851357,0.9827469838826323,1.532986151851357,0.9827469838826323,199.32795666271915,170.48563025690663,1245.6388471479381,ARIMAX,Other,Ōsaka-fu Ōsaka-shi Ōgimachi,0.5502391679687247
air_082908692355165e,436,39,1.1420450463720089,0.635418919836596,1.1420450463720089,0.635418919836596,196.12428004926392,74.32529679329805,1209.3142076624608,ARIMAX,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,0.5066261265354128
air_083ddc520ea47e1e,257,38,0.5787782900014676,0.5255604340297919,0.5787782900014676,0.5255604340297919,68.61516450317883,56.71791945282661,556.0814747396741,ARIMAX,Cafe/Sweets,Fukuoka-ken Itoshima-shi Maebarunishi,0.05321785597167572
air_0845d8395f30c6bb,257,39,1.3426054222382657,0.7451210297728043,1.3426054222382657,0.7451210297728043,113.0226973191299,72.23093189843493,583.0133291028328,ARIMAX,Dining bar,Tōkyō-to Tachikawa-shi Izumichō,0.5974843924654615
air_084d98859256acf0,257,39,0.8952063375234975,0.6201103062158915,0.8952063375234975,0.6201103062158915,71.18421744419776,57.43479272615532,538.9644035527458,ARIMAX,Izakaya,Tōkyō-to Kōtō-ku Tomioka,0.27509603130760607
air_0867f7bebad6a649,190,39,1.3623633858485877,0.9821712023395386,1.3623633858485877,0.9821712023395386,115.4921042049642,67.11436717440375,429.5339321346603,ARIMAX,Italian/French,Hiroshima-ken Hiroshima-shi Kokutaijimachi,0.38019218350904915
air_08ba8cd01b3ba010,439,39,0.6500072058830666,0.44128104419891917,0.6500072058830666,0.44128104419891917,58.86740308862034,48.36277748607479,652.865135805979,ARIMAX,Izakaya,Miyagi-ken Sendai-shi Kamisugi,0.20872616168414743
air_08cb3c4ee6cd6a22,257,39,0.9307780537518364,0.7916345223735715,0.9307780537518364,0.7916345223735715,151.11770136365797,83.66416519581736,417.4167699876212,ARIMAX,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,0.13914353137826496
air_08ef81d5b7a0d13f,257,39,0.9785321085181995,0.715342256844475,0.9785321085181995,0.715342256844475,131.4082300974408,89.38039917673976,602.2159535075141,ARIMAX,Italian/French,Tōkyō-to Chūō-ku Tsukiji,0.26318985167372444
air_08f994758a1e76d4,257,39,0.6268478027560513,0.5382920370754568,0.6268478027560513,0.5382920370754568,79.50324076567892,61.61319478187258,475.96325972161515,ARIMAX,Yakiniku/Korean food,Tōkyō-to Shibuya-ku Shibuya,0.08855576568059453
air_09040f6df960ddb8,257,39,0.9802199102667367,0.7950013750381799,0.9802199102667367,0.7950013750381799,41.423643086680016,59.353190936320935,629.5267771540096,ARIMAX,Cafe/Sweets,Tōkyō-to Meguro-ku Jiyūgaoka,0.1852185352285568
air_0919d54f0c9a24b8,257,39,0.9902802818744783,0.7393442825736894,0.9902802818744783,0.7393442825736894,101.13985642323604,71.50540007659569,753.5496225945029,ARIMAX,Italian/French,Tōkyō-to Minato-ku Shibakōen,0.2509359993007888
air_09661c0f3259cc04,257,39,0.6672456760309486,0.6567296532383023,0.6672456760309486,0.6567296532383023,97.12735922381432,109.61060372799855,484.83659156919185,ARIMAX,Dining bar,Tōkyō-to Toshima-ku Minamiikebukuro,0.010516022792646296
air_09a845d5b5944b01,439,39,0.48494120433169147,0.4721557390026542,0.48494120433169147,0.4721557390026542,56.33887480041325,50.77506482279173,901.6850398412198,ARIMAX,Izakaya,Fukuoka-ken Kurume-shi Jōnanmachi,0.012785465329037293
air_09fd1f5c58583141,257,39,0.7080762989888922,0.5676514342049862,0.7080762989888922,0.5676514342049862,72.4609377550554,67.46331738777471,541.1591336226037,ARIMAX,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,0.14042486478390603
air_0a74a5408a0b8642,257,39,0.41682834110428374,1.2481615781066397,0.41682834110428374,1.2481615781066397,34.514616639237076,66.77466696599402,514.6036484273009,ARIMAX,Western food,Hokkaidō Sapporo-shi Minami 3 Jōnishi,-0.8313332370023561
air_0b184ec04c741a6a,436,38,0.9638910893395137,0.7866697083366333,0.9638910893395137,0.787248154054729,123.84161383851789,59.69138038141841,818.6483561520893,ARIMAX,Japanese food,Tōkyō-to Chūō-ku Tsukiji,0.17722138100288043
air_0b1e72d2d4422b20,257,39,1.3618959588676898,0.9096295108677845,1.3618959588676898,0.9096295108677845,257.53160041130457,104.5413534773198,580.9314807175526,ARIMAX,Izakaya,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,0.45226644799990523
air_0b9038300f8b2b50,257,39,0.6347941560751469,0.5542068438776384,0.6347941560751469,0.5542068438776384,68.03266806208805,50.76281536741231,455.2260961395565,ARIMAX,Italian/French,Tōkyō-to Setagaya-ku Setagaya,0.08058731219750848
