air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,arimax_holiday_weekend_rmsle,arimax_holiday_weekend_rmse_log,arimax_holiday_weekend_mape,arimax_holiday_weekend_aic,arimax_holiday_weekend_status,arimax_golden_week_only_rmsle,arimax_golden_week_only_rmse_log,arimax_golden_week_only_mape,arimax_golden_week_only_aic,arimax_golden_week_only_status,arimax_reservation_only_rmsle,arimax_reservation_only_rmse_log,arimax_reservation_only_mape,arimax_reservation_only_aic,arimax_reservation_only_status,arimax_full_rmsle,arimax_full_rmse_log,arimax_full_mape,arimax_full_aic,arimax_full_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_arimax_vs_naive,delta_arimax_vs_sarima
air_5c817ef28f236bdf,438,39,0.6250091742721982,0.6250091742721982,76.89224566839286,0.45423567857901437,0.45423567857901437,50.523240750194454,578.2262257966452,SARIMA no exog,0.4635447111711382,0.4635447111711382,52.44725054115188,557.511516038296,ARIMAX holiday only,0.4635446971466048,0.4635446971466048,52.447248164185154,559.5115160391475,ARIMAX holiday + weekend,0.45737756421676584,0.45737756421676584,51.12477916018761,576.0405073973435,ARIMAX Golden Week only,0.45372814788860344,0.45372814788860344,50.4368647392065,580.1131389020225,ARIMAX reservation only,0.4634774887183718,0.4634774887183718,52.47529264837637,562.4717829748525,ARIMAX full,Izakaya,Tōkyō-to Shibuya-ku Shibuya,0.17077349569318379,0.16153168555382635,-0.009241810139357431
air_36bcf77d3382d36e,439,39,0.4837786148309487,0.4837786148309487,47.98657756557802,0.3236161043356392,0.3236161043356392,27.86349039335811,417.54468372203127,SARIMA no exog,0.2818864929535534,0.2818864929535534,25.19297130632774,363.8193114904342,ARIMAX holiday only,0.28188649335271077,0.28188649335271077,25.192971342999538,365.8193114904832,ARIMAX holiday + weekend,0.3249454783938496,0.3249454783938496,28.18261394963934,398.379040046472,ARIMAX Golden Week only,0.32361610317111805,0.32361610317111805,27.863490265646877,419.5446837221918,ARIMAX reservation only,0.2857792655858591,0.2857792655858591,25.58441172456991,360.70609861632704,ARIMAX full,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,0.1601625104953095,0.1979993492450896,0.03783683874978011
air_a083834e7ffe187e,439,39,0.793872278531669,0.793872278531669,139.5598408049157,0.7353721827755365,0.7353721827755365,119.1721507564092,779.3385902083578,SARIMA no exog,0.73293922077644,0.73293922077644,118.74956782295625,778.9241678840151,ARIMAX holiday only,0.7328721778375595,0.7328721778375595,118.71468785102901,780.924191151172,ARIMAX holiday + weekend,0.7356387544749082,0.7356387544749082,119.30212304769239,778.1737032744927,ARIMAX Golden Week only,0.6949278848833988,0.6949278848833988,75.2788299410612,708.3907475979902,ARIMAX reservation only,0.6967862466755979,0.6967862466755979,75.6445047973173,709.58249865944,ARIMAX full,Izakaya,Miyagi-ken Sendai-shi Kamisugi,0.058500095756132464,0.09708603185607112,0.038585936099938656
air_d97dabf7aae60da5,439,39,0.44559412220016387,0.44559412220016387,38.48915417952494,0.4911126824376158,0.4911126824376158,34.29683422325121,600.5654230691707,SARIMA no exog,0.46898173607790633,0.46898173607790633,33.88307765743624,517.8429923304118,ARIMAX holiday only,0.4689810934598172,0.4689810934598172,33.88300307505986,519.8429920526905,ARIMAX holiday + weekend,0.49500439244902494,0.49500439244902494,34.51982201406921,584.4783304057361,ARIMAX Golden Week only,0.4911112427127559,0.4911112427127559,34.29672961691872,602.5654232052519,ARIMAX reservation only,0.46997245882199473,0.46997245882199473,33.747538919056595,518.470275746414,ARIMAX full,Cafe/Sweets,Tōkyō-to Shibuya-ku Jingūmae,-0.04551856023745193,-0.024378336621830865,0.021140223615621068
air_60a7057184ec7ec7,439,39,0.5401042980219157,0.5401042980219157,48.30127878597446,0.40978255355978443,0.40978255355978443,34.71846503186239,660.5558453107619,SARIMA no exog,0.3970505997312255,0.3970505997312255,33.9630121692799,650.428056800489,ARIMAX holiday only,0.3970504902944957,0.3970504902944957,33.963087877221284,652.4280569848102,ARIMAX holiday + weekend,0.4097917323273815,0.4097917323273815,34.8087266079397,658.0529569745664,ARIMAX Golden Week only,0.40978261813315836,0.40978261813315836,34.71848949242395,662.5558452903992,ARIMAX reservation only,0.39797704186756516,0.39797704186756516,34.0872801294214,655.0685485988622,ARIMAX full,Izakaya,Fukuoka-ken Fukuoka-shi Torikai,0.1303217444621313,0.14212725615435057,0.011805511692219273
air_71903025d39a4571,439,39,0.6480820695419723,0.6480820695419723,92.25419015237759,0.4380236847715225,0.4380236847715225,46.76381584859027,600.6035006390318,SARIMA no exog,0.4298416221894682,0.4298416221894682,46.86615496456278,593.7234296652648,ARIMAX holiday only,0.4298419068802898,0.4298419068802898,46.866212472272224,595.723429662035,ARIMAX holiday + weekend,0.4354473746067859,0.4354473746067859,46.08214539171932,592.9185931072775,ARIMAX Golden Week only,0.4380237324241801,0.4380237324241801,46.76382764012436,602.6035006398286,ARIMAX reservation only,0.42930530917681314,0.42930530917681314,46.35035190983724,594.0223296063625,ARIMAX full,Cafe/Sweets,Hokkaidō Sapporo-shi Minami 3 Jōnishi,0.21005838477044986,0.2187767603651592,0.008718375594709338
air_232dcee6f7c51d37,438,39,0.5922094902892413,0.5922094902892413,57.75796852719929,0.49254526727745795,0.49254526727745795,51.736555970270835,486.31720663240975,SARIMA no exog,0.48781375473495286,0.48781375473495286,49.99582404954411,471.924833707619,ARIMAX holiday only,0.4878186327806844,0.4878186327806844,50.01817043605745,473.9279305073813,ARIMAX holiday + weekend,0.4919675876818944,0.4919675876818944,51.531408778300836,485.82887300808443,ARIMAX Golden Week only,0.49255137105697566,0.49255137105697566,51.73627453506663,488.3172057275375,ARIMAX reservation only,0.4877540608162227,0.4877540608162227,50.084499326376196,477.68605294504414,ARIMAX full,Cafe/Sweets,Tōkyō-to Shinjuku-ku Nishishinjuku,0.09966422301178335,0.10445542947301861,0.0047912064612352645
air_883ca28ef0ed3d55,439,39,0.6220551697157812,0.6220551697157812,52.334090719420566,0.3985088251572711,0.3985088251572711,32.72651086372461,675.8381711345417,SARIMA no exog,0.39375463912704295,0.39375463912704295,32.66766231567223,677.1167420438569,ARIMAX holiday only,0.39375463106595743,0.39375463106595743,32.66766356765232,679.116742043253,ARIMAX holiday + weekend,0.4029137389609491,0.4029137389609491,32.658694283538466,672.5471642752995,ARIMAX Golden Week only,0.3985211402877004,0.3985211402877004,32.71720446145069,677.4258216782039,ARIMAX reservation only,0.39534154813383443,0.39534154813383443,32.58795861725112,676.0979948805409,ARIMAX full,Bar/Cocktail,Tōkyō-to Nakano-ku Nakano,0.22354634455851013,0.2267136215819468,0.0031672770234366654
air_7a946aada80376a4,436,39,0.5240852360615633,0.5240852360615633,49.15458290131791,0.3594863092952998,0.3594863092952998,30.706969580097887,431.4935181951914,SARIMA no exog,0.3431268730797375,0.3431268730797375,30.26992439809676,410.81503026528605,ARIMAX holiday only,0.34312687427353084,0.34312687427353084,30.269924500274016,412.8150302656477,ARIMAX holiday + weekend,0.3595732342474794,0.3595732342474794,30.711618325927525,418.83888922032645,ARIMAX Golden Week only,0.35948630065398934,0.35948630065398934,30.706967754326392,433.49351818373424,ARIMAX reservation only,0.34513030280236495,0.34513030280236495,30.29013278097419,406.633739139415,ARIMAX full,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,0.16459892676626353,0.17895493325919837,0.014356006492934836
air_cb7467aed805e7fe,439,39,0.45482883258123846,0.45482883258123846,46.87126232706335,0.3204877945104929,0.3204877945104929,26.412438358900907,651.6567415706272,SARIMA no exog,0.32060852154412683,0.32060852154412683,25.805569961171127,644.4609855718719,ARIMAX holiday only,0.32060852512797233,0.32060852512797233,25.805569839257675,646.4609855767598,ARIMAX holiday + weekend,0.32052724565031626,0.32052724565031626,26.390828716861908,647.3382088398124,ARIMAX Golden Week only,0.3212658686213674,0.3212658686213674,25.13016500207565,640.6085955918293,ARIMAX reservation only,0.3222955985618978,0.3222955985618978,24.262187967868627,632.7794972534596,ARIMAX full,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,0.13434103807074554,0.13253323401934064,-0.0018078040514049043
