air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name
air_3440e0ea1b70a99b,257,39,0.44815690621842885,0.44815690621842885,47.249200952959896,0.4218643211468153,0.4218643211468153,30.862600090640484,437.9002715260774,SARIMA no exog,0.42322550272416554,0.42322550272416554,31.166921623443184,438.9965406076575,ARIMAX holiday only,Italian/French,Ōsaka-fu Ōsaka-shi Ōgimachi
air_465bddfed3353b23,257,39,1.038201931747591,1.038201931747591,148.13739132542565,0.7941683014776341,0.7941683014776341,94.92664818569676,485.32622990025015,SARIMA no exog,0.7778000746881772,0.7778000746881772,97.37204669151438,477.2592573371169,ARIMAX holiday only,Dining bar,Tōkyō-to Shibuya-ku Shibuya
air_56cd12f31a0afc04,257,39,0.5171956113168505,0.5171956113168505,56.02686998873203,0.35707102141216895,0.35707102141216895,28.431531791369093,297.1255417032153,SARIMA no exog,0.35575318276520146,0.35575318276520146,28.40186720016752,299.0757345060566,ARIMAX holiday only,Italian/French,Tōkyō-to Chūō-ku Tsukiji
air_9bf595ef095572fb,257,39,0.4612363989287,0.4612363989287,51.01733137285424,0.3715052417172612,0.3715052417172612,34.96330075539601,381.5811948756931,SARIMA no exog,0.37060727303937746,0.37060727303937746,34.89906556862712,383.5632190330848,ARIMAX holiday only,International cuisine,Tōkyō-to Shibuya-ku Shibuya
air_a24bf50c3e90d583,257,39,0.6005124369490753,0.6005124369490753,70.77624034821937,0.5436835053634823,0.5436835053634823,50.84746593136461,493.5182486173147,SARIMA no exog,0.5520889146816876,0.5520889146816876,51.1505569627061,494.19537780520915,ARIMAX holiday only,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō
air_b28bed4b2e7167b7,257,39,0.6704979942052424,0.6704979942052424,72.24957623216137,0.3909835984549651,0.3909835984549651,38.27073949495248,402.4065254304321,SARIMA no exog,0.3869653585603222,0.3869653585603222,37.10455863266714,398.86381487148924,ARIMAX holiday only,Other,Tōkyō-to Shibuya-ku Shibuya
air_b2d97bd2337c5ba7,257,39,0.7446159116294889,0.7446159116294889,70.02490556696685,0.5698318782277751,0.5698318782277751,60.49676771812812,446.1586267249949,SARIMA no exog,0.5805282850788162,0.5805282850788162,62.32329589153336,433.815913644057,ARIMAX holiday only,Izakaya,Tōkyō-to Taitō-ku Higashiueno
air_ccd19a5bc5573ae5,257,39,0.4152401554937844,0.4152401554937844,42.42265745148566,0.3865735532156406,0.3865735532156406,30.9317963297876,479.61114979357717,SARIMA no exog,0.37497684201073034,0.37497684201073034,30.359601477770564,479.6295361143606,ARIMAX holiday only,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō
air_d07e57b21109304a,257,39,0.4239991839964721,0.4239991839964721,36.59236211558193,0.3852197940485418,0.3852197940485418,34.78454491678475,331.58000953951,SARIMA no exog,0.37999916793829347,0.37999916793829347,34.67981798554127,332.8768124043686,ARIMAX holiday only,Western food,Tōkyō-to Shibuya-ku Shibuya
air_daa7947e1c47f5ed,257,39,0.5262940973816597,0.5262940973816597,50.99885391498344,0.4496063773847649,0.4496063773847649,47.63152580261381,417.67323749640104,SARIMA no exog,0.44869180207048803,0.44869180207048803,46.993718074054925,417.588409085614,ARIMAX holiday only,Western food,Tōkyō-to Chūō-ku Tsukiji
air_e08b9cf82057a170,257,39,0.5071865817096826,0.5071865817096826,36.13941200914157,0.3805890968487124,0.3805890968487124,27.401648499587004,470.7892879909341,SARIMA no exog,0.38193670903660776,0.38193670903660776,27.362996147541317,472.7588447045051,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Toshima-ku Minamiikebukuro
air_f3f9824b7d70c3cf,257,39,0.6845502201515424,0.6845502201515424,95.0122690989524,0.5738689950802045,0.5738689950802045,60.37691298978171,489.84207139571,SARIMA no exog,0.5714172718189369,0.5714172718189369,59.87110663410028,490.1767001195537,ARIMAX holiday only,Bar/Cocktail,Hokkaidō Sapporo-shi Minami 3 Jōnishi
air_2f8ced25216df926,257,39,0.956766155706648,0.956766155706648,176.80896903155826,0.47853493735508157,0.47853493735508157,56.97705295312213,331.1188309587169,SARIMA no exog,0.4958237545961577,0.4958237545961577,59.74574829016397,317.8510256258147,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Minato-ku Shibakōen
air_4481a87c1d7c9896,257,39,0.5222305918481033,0.5222305918481033,53.06130398095856,0.5202738126040755,0.5202738126040755,59.151781588058874,446.65182163581994,SARIMA no exog,0.5297482865013242,0.5297482865013242,59.537614367619184,444.7246657937992,ARIMAX holiday only,Dining bar,Tōkyō-to Meguro-ku Kamimeguro
air_4579cb0669fd411b,257,39,0.8235383350066373,0.8235383350066373,184.34264438675507,0.7849572609084292,0.7849572609084292,175.04180770635827,487.4213309557932,SARIMA no exog,0.7892917023027207,0.7892917023027207,176.57777284294497,488.99475372011403,ARIMAX holiday only,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
air_8ec47c0f1e2c879e,257,39,0.3708332676709974,0.3708332676709974,34.914951167912804,0.3230865220978611,0.3230865220978611,26.143223010958188,475.19889737303646,SARIMA no exog,0.29865382360989134,0.29865382360989134,25.527086703261247,475.6382104948578,ARIMAX holiday only,Izakaya,Tōkyō-to Setagaya-ku Sangenjaya
air_d8abb9e490abf94f,257,39,0.4560238526525029,0.4560238526525029,44.622225855257525,0.32115556629919517,0.32115556629919517,24.933912812064115,352.9150957020281,SARIMA no exog,0.29504018522066155,0.29504018522066155,22.509137051446913,345.9570414089743,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Musashino-shi Kichijōji Honchō
air_2c6fef1ce0e13a5a,253,39,1.2436326488222276,1.2436326488222276,105.65670997833436,0.7465813519468322,0.7465813519468322,62.61736835164354,563.3569134206157,SARIMA no exog,0.7820032890623007,0.7820032890623007,74.71230115959182,555.1462422687156,ARIMAX holiday only,Italian/French,Hokkaidō Sapporo-shi Minami 3 Jōnishi
