air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_holiday_arimax_vs_naive,delta_holiday_arimax_vs_sarima
air_5c817ef28f236bdf,438,39,0.6250091742721982,0.6250091742721982,76.89224566839286,0.45423567857901437,0.45423567857901437,50.523240750194454,578.2262257966452,SARIMA no exog,0.4635447111711382,0.4635447111711382,52.44725054115188,557.511516038296,SARIMAX holiday only,Izakaya,Tōkyō-to Shibuya-ku Shibuya,0.17077349569318379,0.16146446310105994,-0.009309032592123845
air_36bcf77d3382d36e,439,39,0.4837786148309487,0.4837786148309487,47.98657756557802,0.3236161043356392,0.3236161043356392,27.86349039335811,417.54468372203127,SARIMA no exog,0.2818864929535534,0.2818864929535534,25.19297130632774,363.8193114904342,SARIMAX holiday only,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,0.1601625104953095,0.2018921218773953,0.04172961138208581
air_a083834e7ffe187e,439,39,0.793872278531669,0.793872278531669,139.5598408049157,0.7353721827755365,0.7353721827755365,119.1721507564092,779.3385902083578,SARIMA no exog,0.73293922077644,0.73293922077644,118.74956782295625,778.9241678840151,SARIMAX holiday only,Izakaya,Miyagi-ken Sendai-shi Kamisugi,0.058500095756132464,0.06093305775522895,0.0024329619990964835
air_d97dabf7aae60da5,439,39,0.44559412220016387,0.44559412220016387,38.48915417952494,0.4911126824376158,0.4911126824376158,34.29683422325121,600.5654230691707,SARIMA no exog,0.46898173607790633,0.46898173607790633,33.88307765743624,517.8429923304118,SARIMAX holiday only,Cafe/Sweets,Tōkyō-to Shibuya-ku Jingūmae,-0.04551856023745193,-0.023387613877742464,0.02213094635970947
air_60a7057184ec7ec7,439,39,0.5401042980219157,0.5401042980219157,48.30127878597446,0.40978255355978443,0.40978255355978443,34.71846503186239,660.5558453107619,SARIMA no exog,0.3970505997312255,0.3970505997312255,33.9630121692799,650.428056800489,SARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Torikai,0.1303217444621313,0.14305369829069026,0.012731953828558962
air_71903025d39a4571,439,39,0.6480820695419723,0.6480820695419723,92.25419015237759,0.4380236847715225,0.4380236847715225,46.76381584859027,600.6035006390318,SARIMA no exog,0.4298416221894682,0.4298416221894682,46.86615496456278,593.7234296652648,SARIMAX holiday only,Cafe/Sweets,Hokkaidō Sapporo-shi Minami 3 Jōnishi,0.21005838477044986,0.21824044735250414,0.008182062582054284
air_232dcee6f7c51d37,438,39,0.5922094902892413,0.5922094902892413,57.75796852719929,0.49254526727745795,0.49254526727745795,51.736555970270835,486.31720663240975,SARIMA no exog,0.48781375473495286,0.48781375473495286,49.99582404954411,471.924833707619,SARIMAX holiday only,Cafe/Sweets,Tōkyō-to Shinjuku-ku Nishishinjuku,0.09966422301178335,0.10439573555428844,0.00473151254250509
air_883ca28ef0ed3d55,439,39,0.6220551697157812,0.6220551697157812,52.334090719420566,0.3985088251572711,0.3985088251572711,32.72651086372461,675.8381711345417,SARIMA no exog,0.39375463912704295,0.39375463912704295,32.66766231567223,677.1167420438569,SARIMAX holiday only,Bar/Cocktail,Tōkyō-to Nakano-ku Nakano,0.22354634455851013,0.22830053058873828,0.004754186030228147
air_7a946aada80376a4,436,39,0.5240852360615633,0.5240852360615633,49.15458290131791,0.3594863092952998,0.3594863092952998,30.706969580097887,431.4935181951914,SARIMA no exog,0.3431268730797375,0.3431268730797375,30.26992439809676,410.81503026528605,SARIMAX holiday only,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,0.16459892676626353,0.18095836298182583,0.016359436215562295
air_cb7467aed805e7fe,439,39,0.45482883258123846,0.45482883258123846,46.87126232706335,0.3204877945104929,0.3204877945104929,26.412438358900907,651.6567415706272,SARIMA no exog,0.32060852154412683,0.32060852154412683,25.805569961171127,644.4609855718719,SARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,0.13434103807074554,0.13422031103711163,-0.00012072703363391613
